"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1DXOiLErzRKc0B4NA","1225780","new_entry","original",NA,NA,"Haiti: The new COVID-19 strategy developed by MSPP and UN partners has been adopted by the Multisectoral Commission. It aims at fighting disbelief, denial and refusal behaviours as positive cases
increase. The strategy will use more deeply rooted socio-cultural messages, embodied by credible influencers,
community and religious leaders, as well as coordinate institutional and community-led messaging and reinforce
digital media, radio and TV.",2020-04-18,2020-04-18,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/20200428_-_flash_update_no._5_covid-19_-_ocha_haiti_-_en.pdf",2020-06-16,2020-06-16 17:06:00
"2","R_2vfdHL1qJJ7yFWfNA","6333171","new_entry","original",NA,NA,"strictly prohibit sharing on social media any images of bodies of people who died from Covid-19 -- under the threat of fine of nearly $200 or 15 days in jail.",2020-05-21,2020-05-21,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government",NA,NA,NA,NA,"https://edition.cnn.com/2020/06/10/americas/haiti-coronavirus-harsh-measures-intl/index.html",2020-06-11,2020-06-11 14:01:45
"3","R_3Gcyy2jy1GTA5WuNA","6333171","new_entry","correction",NA,NA,"On May 21, a Haitian presidential decree strictly prohibited sharing on social media any images of bodies of people who died from Covid-19 -- under the threat of fine of nearly $200 or 15 days in jail.",2020-05-21,2020-05-21,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government",NA,NA,NA,NA,"https://edition.cnn.com/2020/06/10/americas/haiti-coronavirus-harsh-measures-intl/index.html",2020-06-16,2020-06-16 15:01:16
"4","R_1gdyQY6kyRRbGMINA","8463103","new_entry","original",NA,NA,"The decree also included measures that appeared to have little to do with social distancing: Articles 14 and 15 prohibit taking and sharing photos or video of Covid-19 patients without their authorization",2020-05-21,2020-05-21,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",NA,NA,NA,NA,"https://edition.cnn.com/2020/06/10/americas/haiti-coronavirus-harsh-measures-intl/index.html",2020-06-11,2020-06-11 13:54:42
"5","R_yjWenyLBYglLsvDNA","8463103","new_entry","correction",NA,NA,"Beginning on May 21, 2020, Haiti prohibits taking and sharing photos or video of Covid-19 patients without their authorization. Violators can be fined 20.000 Gourdes, imprisoned for 15 days, and sentenced to 30 days of communal labor.",2020-05-21,2020-05-21,NA,"Haiti","HTI","HT","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",NA,NA,NA,NA,"NA ; https://www.haitilibre.com/article-30843-haiti-flash-decret-presidentiel-fixant-les-regles-generales-de-protection-de-la-population-face-au-covid-19.html",2020-06-16,2020-06-16 15:10:45
"6","R_1jMQfrDKu4rcTjaCw","2563374","new_entry","original",NA,NA,"Schools, universities, places of worship and industrial parks would be closed",2020-03-19,2020-03-19,2020-08-10,"Haiti","HTI","HT","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Haiti",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.reuters.com/article/us-health-coronavirus-haiti/haiti-declares-emergency-over-coronavirus-imposes-curfew-shuts-border-idUSKBN21700V",2020-05-25,2020-05-25 10:49:34
"7","R_1jMQfrDKu4rcTjaDr","2563374","new_entry","original",NA,NA,"Schools, universities, places of worship and industrial parks would be closed",2020-03-19,2020-03-19,2020-08-10,"Haiti","HTI","HT","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Haiti",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.reuters.com/article/us-health-coronavirus-haiti/haiti-declares-emergency-over-coronavirus-imposes-curfew-shuts-border-idUSKBN21700V",2020-05-25,2020-05-25 10:49:34
"8","R_1jMQfrDKu4rcTjaBg","2563374","new_entry","original",NA,NA,"Schools, universities, places of worship and industrial parks would be closed",2020-03-19,2020-03-19,2020-08-10,"Haiti","HTI","HT","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Haiti",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.reuters.com/article/us-health-coronavirus-haiti/haiti-declares-emergency-over-coronavirus-imposes-curfew-shuts-border-idUSKBN21700V",2020-05-25,2020-05-25 10:49:34
"9","R_ANjdJcfcqaigr8RCw","2563374","new_entry","correction",NA,NA,"Haiti: Schools, universities, places of worship and industrial parks will be closed from March 19, 2020.",2020-03-19,2020-03-19,2020-08-10,"Haiti","HTI","HT","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Haiti",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.reuters.com/article/us-health-coronavirus-haiti/haiti-declares-emergency-over-coronavirus-imposes-curfew-shuts-border-idUSKBN21700V",2020-06-16,2020-06-16 14:46:31
"10","R_ANjdJcfcqaigr8RDr","2563374","new_entry","correction",NA,NA,"Haiti: Schools, universities, places of worship and industrial parks will be closed from March 19, 2020.",2020-03-19,2020-03-19,2020-08-10,"Haiti","HTI","HT","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Haiti",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.reuters.com/article/us-health-coronavirus-haiti/haiti-declares-emergency-over-coronavirus-imposes-curfew-shuts-border-idUSKBN21700V",2020-06-16,2020-06-16 14:46:31
"11","R_ANjdJcfcqaigr8RBg","2563374","new_entry","correction",NA,NA,"Haiti: Schools, universities, places of worship and industrial parks will be closed from March 19, 2020.",2020-03-19,2020-03-19,2020-08-10,"Haiti","HTI","HT","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Haiti",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.reuters.com/article/us-health-coronavirus-haiti/haiti-declares-emergency-over-coronavirus-imposes-curfew-shuts-border-idUSKBN21700V",2020-06-16,2020-06-16 14:46:31
"12","R_3ijPzcFQxXqdbICCw","2563374","update","original","End of Policy",NA,"Schools, universities, places of worship and industrial parks would be closed",2020-03-19,2020-03-19,2020-08-10,"Haiti","HTI","HT","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Haiti",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA ; https://www.voanews.com/covid-19-pandemic/haiti-schools-reopen-first-time-five-months-coronavirus-outbreak",2020-08-24,2020-08-24 12:22:56
